Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789694272,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789694273,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789694274,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789694275,4,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1,1,2047.0933000033256,2047.0933000033256,2047.0933000033256,2047.0933000033256,0.0
1789694276,4,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2,2,2030.233199999202,2038.6632500012638,2030.233199999202,2047.0933000033256,0.0
1789694277,4,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3,3,2030.233199999202,2037.8401000004185,2030.233199999202,2047.0933000033256,0.0
1789694278,4,,Aggregated,0.333333,0.333333,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4,4,2030.233199999202,2040.3775499999028,2030.233199999202,2047.9898999983561,0.0
1789694279,4,,Aggregated,0.600000,0.600000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,6,2030.233199999202,2039.114233333142,2030.233199999202,2047.9898999983561,0.0
1789694280,4,,Aggregated,0.600000,0.600000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,6,2030.233199999202,2039.114233333142,2030.233199999202,2047.9898999983561,0.0
1789694281,4,,Aggregated,0.600000,0.600000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,6,2030.233199999202,2039.114233333142,2030.233199999202,2047.9898999983561,0.0
1789694282,4,,Aggregated,0.750000,0.750000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9,9,2020.8119000017177,2035.759044444098,2020.8119000017177,2047.9898999983561,0.0
1789694283,4,,Aggregated,0.750000,0.750000,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100,10,10,2020.8119000017177,2037.22815000001,2020.8119000017177,2050.450100003218,0.0
